ダウンロードした時刻：2018/05/27 17:37:20

,一関,一関,一関
年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2012/4/26,13.8,8,1
2012/4/27,13.7,8,1
2012/4/28,14.1,8,1
2012/4/29,14.8,8,1
2012/4/30,16.5,8,1
2012/5/1,18.6,8,1
2012/5/2,18.0,8,1
2012/5/3,15.7,8,1
2012/5/4,16.5,8,1
2012/5/5,14.6,8,1
2012/5/6,13.2,8,1
2012/5/7,14.0,8,1
2012/5/8,15.9,8,1
2012/5/9,16.2,8,1
2012/5/10,13.6,8,1
2012/5/11,12.3,8,1
2012/5/12,11.5,8,1
2012/5/13,12.5,8,1
2012/5/14,14.8,8,1
2012/5/15,14.3,8,1
2012/5/16,16.9,8,1
2012/5/17,14.9,8,1
2012/5/18,13.0,8,1
2012/5/19,15.8,8,1
2012/5/20,17.6,8,1
2012/5/21,16.2,8,1
2012/5/22,14.2,8,1
2012/5/23,15.0,8,1
2012/5/24,17.9,8,1
2012/5/25,16.7,8,1
2012/5/26,17.8,8,1
2012/5/27,17.2,8,1
2012/5/28,15.3,8,1
2012/5/29,17.5,8,1
2012/5/30,16.8,8,1
2012/5/31,17.0,8,1
2012/6/1,18.4,8,1
2012/6/2,18.2,8,1
2012/6/3,17.6,8,1
2012/6/4,19.8,8,1
2012/6/5,20.2,8,1
2012/6/6,19.6,8,1
2012/6/7,18.9,8,1
2012/6/8,19.5,8,1
2012/6/9,17.8,8,1
2012/6/10,18.7,8,1
2012/6/11,19.3,8,1
2012/6/12,15.6,8,1
2012/6/13,15.5,8,1
2012/6/14,14.8,8,1
2012/6/15,15.3,8,1
2012/6/16,15.9,8,1
2012/6/17,20.3,8,1
2012/6/18,21.6,8,1
2012/6/19,17.5,8,1
2012/6/20,19.6,8,1
2012/6/21,19.9,8,1
2012/6/22,18.8,8,1
2012/6/23,18.8,8,1
2012/6/24,17.8,8,1
2012/6/25,17.5,8,1
2012/6/26,17.6,8,1
2012/6/27,18.4,8,1
2012/6/28,19.5,8,1
2012/6/29,20.6,8,1
2012/6/30,21.3,8,1
2012/7/1,18.6,8,1
2012/7/2,21.1,8,1
2012/7/3,20.6,8,1
2012/7/4,23.4,8,1
2012/7/5,21.0,8,1
2012/7/6,22.8,8,1
2012/7/7,20.5,8,1
2012/7/8,22.0,8,1
2012/7/9,21.1,8,1
2012/7/10,23.7,8,1
2012/7/11,23.6,8,1
2012/7/12,22.6,8,1
2012/7/13,25.3,8,1
2012/7/14,23.4,8,1
2012/7/15,20.9,8,1
2012/7/16,26.5,8,1
2012/7/17,26.0,8,1
2012/7/18,24.3,8,1
2012/7/19,21.1,8,1
2012/7/20,18.4,8,1
2012/7/21,18.1,8,1
2012/7/22,18.4,8,1
2012/7/23,21.1,8,1
2012/7/24,23.7,8,1
2012/7/25,24.7,8,1
2012/7/26,26.0,8,1
2012/7/27,27.3,8,1
2012/7/28,27.9,8,1
2012/7/29,27.3,8,1
2012/7/30,27.5,8,1
2012/7/31,26.6,8,1
2012/8/1,26.6,8,1
2012/8/2,27.5,8,1
2012/8/3,25.4,8,1
2012/8/4,26.5,8,1
2012/8/5,27.4,8,1
2012/8/6,25.0,8,1
2012/8/7,24.3,8,1
2012/8/8,21.5,8,1
2012/8/9,22.6,8,1
2012/8/10,23.6,8,1
2012/8/11,23.9,8,1
2012/8/12,25.4,8,1
2012/8/13,25.6,8,1
2012/8/14,25.3,8,1
2012/8/15,24.2,8,1
2012/8/16,27.7,8,1
2012/8/17,27.4,8,1
2012/8/18,26.2,8,1
2012/8/19,26.5,8,1
2012/8/20,26.4,8,1
2012/8/21,26.2,8,1
2012/8/22,27.5,8,1
2012/8/23,27.8,8,1
2012/8/24,27.2,8,1
2012/8/25,26.9,8,1
2012/8/26,26.5,8,1
2012/8/27,27.6,8,1
2012/8/28,26.9,8,1
2012/8/29,26.7,8,1
2012/8/30,27.4,8,1
2012/8/31,27.2,8,1
2012/9/1,26.5,8,1
2012/9/2,25.5,8,1
2012/9/3,25.7,8,1
2012/9/4,24.9,8,1
2012/9/5,25.6,8,1
2012/9/6,24.1,8,1
2012/9/7,24.1,8,1
2012/9/8,24.7,8,1
2012/9/9,26.1,8,1
2012/9/10,26.7,8,1
2012/9/11,26.8,8,1
2012/9/12,24.2,8,1
2012/9/13,25.7,8,1
2012/9/14,25.9,8,1
2012/9/15,26.1,8,1
2012/9/16,27.4,8,1
2012/9/17,27.3,8,1
2012/9/18,27.4,8,1
2012/9/19,25.5,8,1
2012/9/20,23.1,8,1
2012/9/21,19.4,8,1
2012/9/22,20.0,8,1
2012/9/23,18.0,8,1
2012/9/24,17.9,8,1
2012/9/25,17.4,8,1
2012/9/26,18.9,8,1
2012/9/27,17.9,8,1
2012/9/28,18.0,8,1
2012/9/29,22.7,8,1
2012/9/30,23.0,8,1
2012/10/1,23.7,8,1
2012/10/2,18.1,8,1
2012/10/3,18.4,8,1
2012/10/4,18.5,8,1
2012/10/5,17.7,8,1
2012/10/6,17.9,8,1
2012/10/7,17.8,8,1
2012/10/8,15.0,8,1
2012/10/9,15.2,8,1
2012/10/10,15.7,8,1
2012/10/11,16.1,8,1
2012/10/12,15.4,8,1
2012/10/13,15.7,8,1
2012/10/14,14.2,8,1
2012/10/15,14.4,8,1
2012/10/16,13.0,8,1
2012/10/17,14.1,8,1
2012/10/18,14.8,8,1
2012/10/19,11.6,8,1
2012/10/20,12.0,8,1
2012/10/21,14.7,8,1
2012/10/22,14.1,8,1
2012/10/23,14.6,8,1
2012/10/24,11.0,8,1
2012/10/25,10.6,8,1
2012/10/26,11.8,8,1
2012/10/27,11.6,8,1
2012/10/28,12.8,8,1
2012/10/29,14.9,8,1
2012/10/30,11.6,8,1
2012/10/31,12.0,8,1
2012/11/1,10.7,8,1
2012/11/2,9.7,8,1
2012/11/3,10.2,8,1
2012/11/4,10.5,8,1
2012/11/5,9.2,8,1
2012/11/6,13.5,8,1
2012/11/7,12.9,8,1
2012/11/8,10.4,8,1
2012/11/9,10.7,8,1
2012/11/10,11.0,8,1
2012/11/11,9.8,8,1
2012/11/12,12.2,8,1
2012/11/13,9.7,8,1
2012/11/14,8.3,8,1
2012/11/15,6.3,8,1
2012/11/16,6.1,8,1
2012/11/17,5.8,8,1
2012/11/18,5.7,8,1
2012/11/19,5.5,8,1
2012/11/20,6.5,8,1
2012/11/21,3.4,8,1
2012/11/22,3.6,8,1
2012/11/23,5.7,8,1
2012/11/24,3.1,8,1
2012/11/25,2.8,8,1
2012/11/26,5.0,8,1
2012/11/27,3.0,8,1
2012/11/28,3.7,8,1
2012/11/29,3.9,8,1
2012/11/30,2.1,8,1
2012/12/1,1.3,8,1
2012/12/2,1.2,8,1
2012/12/3,3.5,8,1
2012/12/4,6.5,8,1
2012/12/5,3.4,8,1
2012/12/6,2.8,8,1
2012/12/7,0.7,8,1
2012/12/8,-0.4,8,1
2012/12/9,-2.0,8,1
2012/12/10,-0.1,8,1
2012/12/11,-0.1,8,1
2012/12/12,0.5,8,1
2012/12/13,-0.1,8,1
2012/12/14,3.5,8,1
2012/12/15,3.5,8,1
2012/12/16,5.6,8,1
2012/12/17,5.0,8,1
2012/12/18,3.7,8,1
2012/12/19,-0.6,8,1
2012/12/20,-0.4,8,1
2012/12/21,1.1,8,1
2012/12/22,0.5,8,1
2012/12/23,0.8,8,1
2012/12/24,-3.3,8,1
2012/12/25,-2.1,8,1
2012/12/26,-4.0,8,1
2012/12/27,-1.3,8,1
2012/12/28,1.2,8,1
2012/12/29,0.8,8,1
2012/12/30,2.6,8,1
2012/12/31,1.4,8,1
2013/1/1,-1.3,8,1
2013/1/2,-0.5,8,1
2013/1/3,-3.3,8,1
2013/1/4,-3.8,8,1
2013/1/5,-2.0,8,1
2013/1/6,-1.0,8,1
2013/1/7,0.3,8,1
2013/1/8,-1.0,8,1
2013/1/9,-4.6,8,1
2013/1/10,-4.0,8,1
2013/1/11,-2.4,8,1
2013/1/12,-1.9,8,1
2013/1/13,1.5,8,1
2013/1/14,-1.8,8,1
2013/1/15,-1.6,8,1
2013/1/16,-3.0,8,1
2013/1/17,-3.4,8,1
2013/1/18,-5.3,8,1
2013/1/19,-0.2,8,1
2013/1/20,0.7,8,1
2013/1/21,1.2,8,1
2013/1/22,-0.1,8,1
2013/1/23,-0.9,8,1
2013/1/24,0.6,8,1
2013/1/25,-1.2,8,1
2013/1/26,-3.4,8,1
2013/1/27,0.2,8,1
2013/1/28,-0.3,8,1
2013/1/29,0.4,8,1
2013/1/30,0.6,8,1
2013/1/31,-0.1,8,1
2013/2/1,-0.9,8,1
2013/2/2,4.3,8,1
2013/2/3,0.0,8,1
2013/2/4,-0.6,8,1
2013/2/5,0.4,8,1
2013/2/6,-0.8,8,1
2013/2/7,1.3,8,1
2013/2/8,-1.4,8,1
2013/2/9,-1.5,8,1
2013/2/10,-1.5,8,1
2013/2/11,-2.2,8,1
2013/2/12,-0.5,8,1
2013/2/13,0.7,8,1
2013/2/14,1.6,8,1
2013/2/15,1.4,8,1
2013/2/16,-2.6,8,1
2013/2/17,-1.6,8,1
2013/2/18,-0.3,8,1
2013/2/19,0.4,8,1
2013/2/20,-2.9,8,1
2013/2/21,-3.9,8,1
2013/2/22,-0.2,8,1
